objName,objID,raMean,decMean,raMeanErr,decMeanErr,nDetections,randomID,projectionID,skyCellID,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,epochMean,nStackDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,gMeanApMag,gMeanApMagErr,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanKronMag,rMeanKronMagErr,rMeanApMag,rMeanApMagErr,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanKronMag,iMeanKronMagErr,iMeanApMag,iMeanApMagErr,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanKronMag,zMeanKronMagErr,zMeanApMag,zMeanApMagErr,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanKronMag,yMeanKronMagErr,yMeanApMag,yMeanApMagErr,yFlags,Ang Sep (')
b'PSO J023731.386+145227.325',b'125840393807529509',39.3807791667,14.8742583333,0.156,0.156,2,0.401303650254,1600,78,268959744,32,b'',b'',,,55585.2668518,0,0,0,0,2,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.607,20.834,0.14,,,20.72,0.051,4120,,,,,,,,0,13.287
b'PSO J023648.854+151229.674',b'126250392035480392',39.2035958333,15.2082166667,0.189,0.189,2,0.113169630164,1600,89,1107374080,132,b'02 36 48.884',b'+15 12 29.58',0.001,0.001,55530.2783449,1,0,0,1,1,0,,,,,,,,32,,,,,,,,32,0.999,21.293,0.189,21.062,0.221,21.054,0.189,33080,0.618,20.322,0.199,,,20.786,0.199,4144,,,,,,,,32,13.288
b'PSO J023719.297+150928.665',b'126190393303330108',39.3304083333,15.1579638889,0.213,0.213,2,0.236998704483,1600,78,268959744,32,b'',b'',,,56233.3303704,0,0,0,2,0,0,,,,,,,,0,,,,,,,,0,0.495,21.825,0.113,,,22.719,0.923,4120,,,,,,,,0,,,,,,,,0,13.289
b'PSO J023644.484+144557.741',b'125710391853329828',39.1853666667,14.7660027778,0.013,0.015,43,0.363903304901,1600,69,444915712,53,b'02 36 44.485',b'+14 45 57.74',0.001,0.001,56243.1330903,5,0,7,18,9,9,,,,,,,,114720,0.999,21.307,0.074,20.586,0.096,20.644,0.086,16892216,0.999,20.466,0.036,19.862,0.034,19.91,0.019,16892216,0.999,19.972,0.077,19.274,0.052,19.333,0.06,16892216,0.999,19.755,0.064,19.015,0.092,19.204,0.13,16892216,13.294
b'PSO J023738.708+150101.548',b'126020394112381000',39.4113083333,15.0170444444,0.167,0.167,2,0.352803011753,1600,78,302067712,36,b'',b'',,,55889.2881134,0,1,0,0,1,0,0.999,22.128,0.167,,,22.164,0.167,280,,,,,,,,0,,,,,,,,0,0.615,20.174,0.156,19.576,0.105,19.792,0.156,4112,,,,,,,,0,13.299
b'PSO J023608.170+150920.189',b'126180390340977205',39.034075,15.1555944444,0.069,0.069,2,0.924832256441,1600,79,310456320,37,b'',b'',,,55914.8574653,0,0,0,0,2,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.999,20.163,0.0,18.897,0.0,19.192,0.314,16778264,,,,,,,,0,13.303
b'PSO J023559.599+150705.369',b'126140389982942312',38.9983291667,15.1181583333,0.16,0.16,2,0.174462213343,1600,79,268959744,32,b'',b'',,,55926.2313426,0,0,0,1,0,1,,,,,,,,0,,,,,,,,0,0.809,21.67,0.284,,,23.133,0.284,4120,,,,,,,,0,0.815,20.035,0.193,,,22.062,0.193,4120,13.303
b'PSO J023641.406+144557.578',b'125710391722709549',39.1725541667,14.7659638889,0.192,0.192,2,0.662372441648,1600,69,302067712,36,b'',b'',,,55477.5897801,0,0,1,1,0,0,,,,,,,,0,0.999,21.95,0.191,21.543,0.268,21.428,0.191,16777496,0.802,21.882,0.234,,,21.978,0.234,4120,,,,,,,,0,,,,,,,,0,13.312
b'PSO J023557.658+145205.615',b'125840389902752387',38.9902708333,14.8681972222,0.083,0.083,4,0.395773848887,1600,79,436363264,52,b'02 35 57.670',b'+14 52 05.72',0.001,0.001,56526.720544,2,0,0,1,3,0,,,,,,,,16416,,,,,,,,16416,0.998,21.925,0.175,21.332,0.25,21.433,0.175,16892216,0.998,21.156,0.097,21.005,0.313,21.009,0.328,115000,,,,,,,,16416,13.314
b'PSO J023725.581+145028.655',b'125800393565269944',39.3565916667,14.8412944444,0.183,0.183,2,0.0875125118415,1600,78,268959744,32,b'',b'',,,56688.7915162,0,0,0,1,0,1,,,,,,,,0,,,,,,,,0,0.782,21.484,0.263,,,22.462,0.263,4120,,,,,,,,0,0.832,19.676,0.253,,,19.608,0.253,4120,13.316
b'PSO J023648.728+151231.445',b'126250392030221010',39.2031375,15.2087194444,0.088,0.088,5,0.482486058476,1600,89,444751872,53,b'02 36 48.729',b'+15 12 31.45',0.001,0.001,55897.7564468,6,0,1,4,0,0,,,,,,,,114720,0.998,22.023,0.185,21.204,0.198,21.137,0.185,16892216,0.999,21.611,0.142,21.189,0.183,20.948,0.234,16892216,,,,,,,,16416,,,,,,,,16416,13.316
b'PSO J023738.885+150049.702',b'126010394120047200',39.4120375,15.0137666667,0.122,0.122,2,0.702381909548,1600,78,302067712,36,b'',b'',,,55889.3066782,0,0,2,0,0,0,,,,,,,,0,0.989,22.205,0.009,,,21.923,0.345,280,,,,,,,,0,,,,,,,,0,,,,,,,,0,13.317
b'PSO J023642.377+144556.507',b'125710391766499450',39.176575,14.7656972222,0.061,0.061,2,0.528014909036,1600,69,277348352,33,b'',b'',,,55477.5714468,0,2,0,0,0,0,0.707,20.473,0.043,19.238,0.0,19.741,0.032,16781336,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,13.319
b'PSO J023548.996+145941.977',b'125990389541794510',38.9541833333,14.9949833333,0.247,0.247,2,0.907706129279,1600,79,302067712,36,b'',b'',,,55935.2002431,0,0,0,1,0,1,,,,,,,,0,,,,,,,,0,0.803,21.95,0.251,,,22.334,0.251,4120,,,,,,,,0,0.864,20.204,0.247,,,20.371,0.247,280,13.32
